,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,57.9,70,62,8.14,broken clouds
1,Yellowknife,CA,62.456,-114.3525,42.42,79,40,19.57,scattered clouds
2,Sira,IN,13.7453,76.9092,70.5,95,100,14.63,overcast clouds
3,Atuona,PF,-9.8,-139.0333,78.06,77,18,18.07,few clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,90,11.5,overcast clouds
5,Puerto Colombia,CO,10.9878,-74.9547,89.69,68,44,4.05,scattered clouds
6,Vaini,TO,-21.2,-175.2,69.96,88,75,10.36,broken clouds
7,Daru,PG,-9.0763,143.2092,78.96,84,82,13.06,broken clouds
8,Vangaindrano,MG,-23.35,47.6,71.58,94,7,4.63,clear sky
9,Kirakira,SB,-10.4544,161.9205,79.57,83,22,7.52,few clouds
10,Rikitea,PF,-23.1203,-134.9692,74.71,82,72,19.44,broken clouds
11,Port Hedland,AU,-20.3167,118.5667,77.05,41,69,9.22,broken clouds
12,Port Elizabeth,ZA,-33.918,25.5701,62.1,72,20,26.46,few clouds
13,Bengkulu,ID,-3.8004,102.2655,75.78,90,61,3.71,broken clouds
14,Mataura,NZ,-46.1927,168.8643,49.35,97,100,0.98,overcast clouds
15,Norman Wells,CA,65.282,-126.8329,37.44,75,20,4.61,few clouds
16,Bredasdorp,ZA,-34.5322,20.0403,58.32,72,68,10.36,broken clouds
17,Mehamn,NO,71.0357,27.8492,35.85,60,100,20.38,overcast clouds
18,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.79,100,90,5.75,overcast clouds
19,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,87,75,9.22,broken clouds
20,Tuy Hoa,VN,13.0833,109.3,75.6,96,100,7.38,overcast clouds
21,Albany,US,42.6001,-73.9662,54.81,58,68,8.48,broken clouds
22,Abha,SA,18.2164,42.5053,66.02,59,0,2.3,clear sky
23,Lages,BR,-27.8161,-50.3261,61.88,89,72,6.29,heavy intensity rain
24,Nanortalik,GL,60.1432,-45.2371,36.43,74,24,6.26,few clouds
25,Obo,CF,5.3998,26.4869,73.8,84,78,3.6,light rain
26,Ilulissat,GL,69.2167,-51.1,19.42,79,90,21.85,light snow
27,Thompson,CA,55.7435,-97.8558,33.96,75,75,4.61,light shower snow
28,Mar Del Plata,AR,-38.0023,-57.5575,68.02,64,40,7.0,scattered clouds
29,Durres,AL,41.3231,19.4414,64.58,80,84,2.93,broken clouds
30,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,39.12,light intensity shower rain
31,Maceio,BR,-9.6658,-35.7353,90.84,62,40,14.97,scattered clouds
32,Iqaluit,CA,63.7506,-68.5145,31.73,69,40,2.3,scattered clouds
33,Kapaa,US,22.0752,-159.319,75.52,90,40,12.66,light rain
34,Skjervoy,NO,70.0311,20.9714,36.72,57,100,7.11,overcast clouds
35,Severo-Kurilsk,RU,50.6789,156.125,38.95,78,59,8.08,broken clouds
36,Solnechnyy,RU,50.7214,136.6319,32.77,85,1,4.16,clear sky
37,Astoria,US,46.1879,-123.8313,53.71,92,90,5.99,mist
38,Outjo,NA,-20.1167,16.15,72.19,8,0,13.69,clear sky
39,East London,ZA,-33.0153,27.9116,63.54,59,0,24.16,clear sky
40,Anadyr,RU,64.75,177.4833,-1.7,84,40,8.95,scattered clouds
41,Barra Velha,BR,-26.6322,-48.6847,76.59,71,57,7.31,broken clouds
42,Barrow,US,71.2906,-156.7887,30.22,86,90,13.8,overcast clouds
43,Athabasca,CA,54.7169,-113.2854,36.01,93,100,8.7,overcast clouds
44,Faya,SA,18.3851,42.4509,66.31,38,6,5.19,clear sky
45,Khorramabad,IR,33.4878,48.3558,60.15,28,0,3.44,clear sky
