City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bambous Virieux,-20.3428,57.7575,74.21,94,40,4.61,MU,2021-10-11 21:42:06
1,Rikitea,-23.1203,-134.9692,74.23,77,90,13.24,PF,2021-10-11 21:40:57
2,Hornepayne,49.2138,-84.7705,59.49,78,98,9.86,CA,2021-10-11 21:42:07
3,Rocha,-34.4833,-54.3333,59.67,97,100,12.28,UY,2021-10-11 21:42:07
4,Mataura,-46.1927,168.8643,42.82,87,99,8.79,NZ,2021-10-11 21:42:07
5,Qaanaaq,77.484,-69.3632,30.54,97,100,8.3,GL,2021-10-11 21:41:00
6,Maragogi,-9.0122,-35.2225,76.62,82,5,10.0,BR,2021-10-11 21:42:08
7,Bredasdorp,-34.5322,20.0403,58.3,84,100,3.24,ZA,2021-10-11 21:41:47
8,Ngunguru,-35.6167,174.5,56.16,88,100,13.42,NZ,2021-10-11 21:41:38
9,Thompson,55.7435,-97.8558,48.36,87,90,3.44,CA,2021-10-11 21:42:09
10,Vao,-22.6667,167.4833,71.42,71,98,14.5,NC,2021-10-11 21:42:09
11,Ponta Do Sol,32.6667,-17.1,72.23,66,72,5.28,PT,2021-10-11 21:41:54
12,Busselton,-33.65,115.3333,44.1,60,92,15.14,AU,2021-10-11 21:42:09
13,Ushuaia,-54.8,-68.3,51.46,46,40,17.27,AR,2021-10-11 21:42:10
14,Cape Town,-33.9258,18.4232,64.27,85,0,1.01,ZA,2021-10-11 21:39:09
15,Upernavik,72.7868,-56.1549,33.76,98,100,15.64,GL,2021-10-11 21:42:10
16,Ribeira Grande,38.5167,-28.7,70.68,77,100,7.87,PT,2021-10-11 21:42:11
17,Pacific Grove,36.6177,-121.9166,72.59,65,1,8.99,US,2021-10-11 21:42:11
18,Makakilo City,21.3469,-158.0858,84.52,54,20,11.5,US,2021-10-11 21:42:11
19,Juarez,31.7333,-106.4833,84.25,21,20,8.99,MX,2021-10-11 21:40:16
20,Hermanus,-34.4187,19.2345,60.91,80,100,2.08,ZA,2021-10-11 21:40:57
21,East London,-33.0153,27.9116,69.42,55,63,4.43,ZA,2021-10-11 21:42:12
22,Lincoln,40.8,-96.667,77.38,33,1,1.01,US,2021-10-11 21:41:06
23,Safaga,26.7292,33.9365,84.51,43,6,9.64,EG,2021-10-11 21:42:12
24,Jamestown,42.097,-79.2353,74.79,68,1,5.99,US,2021-10-11 21:38:39
25,Khatanga,71.9667,102.5,16.95,96,100,6.93,RU,2021-10-11 21:42:13
26,Kaitangata,-46.2817,169.8464,44.04,81,98,16.67,NZ,2021-10-11 21:42:13
27,Maumere,-8.6199,122.2111,79.27,76,70,7.54,ID,2021-10-11 21:42:14
28,Nuuk,64.1835,-51.7216,38.01,70,20,10.36,GL,2021-10-11 21:42:14
29,Candido Mendes,-1.4467,-45.7167,78.98,77,53,6.73,BR,2021-10-11 21:42:14
30,Bluff,-46.6,168.3333,45.84,61,97,19.42,NZ,2021-10-11 21:42:15
31,Dhidhdhoo,6.8833,73.1,82.6,78,100,20.29,MV,2021-10-11 21:42:15
32,Longyearbyen,78.2186,15.6401,28.24,74,20,19.57,SJ,2021-10-11 21:42:15
33,Cabo San Lucas,22.8909,-109.9124,94.51,63,20,6.91,MX,2021-10-11 21:42:16
34,Vardo,70.3705,31.1107,43.0,96,100,6.55,NO,2021-10-11 21:42:16
35,Karratha,-20.7377,116.8463,71.67,44,0,5.91,AU,2021-10-11 21:41:36
36,Sitka,57.0531,-135.33,48.09,71,90,16.11,US,2021-10-11 21:42:17
37,Puerto Ayora,-0.7393,-90.3518,76.96,81,95,8.99,EC,2021-10-11 21:42:17
38,Pisco,-13.7,-76.2167,64.45,77,40,10.36,PE,2021-10-11 21:41:58
39,Strezhevoy,60.7333,77.5889,30.18,73,65,4.68,RU,2021-10-11 21:42:17
40,Atuona,-9.8,-139.0333,78.28,71,17,19.19,PF,2021-10-11 21:42:18
41,Moctezuma,29.8,-109.6667,83.3,25,0,23.73,MX,2021-10-11 21:42:18
42,Avarua,-21.2078,-159.775,78.85,83,75,12.66,CK,2021-10-11 21:42:18
43,San Isidro,-12.1167,-77.05,62.26,84,90,1.01,PE,2021-10-11 21:42:19
44,Airai,-8.9266,125.4092,61.93,79,81,2.28,TL,2021-10-11 21:42:19
45,Coahuayana,18.7333,-103.6833,86.81,70,63,5.88,MX,2021-10-11 21:42:20
46,Bethel,41.3712,-73.414,70.0,80,59,4.21,US,2021-10-11 21:42:20
47,Waverley,-25.7023,28.2591,62.4,49,2,4.61,ZA,2021-10-11 21:42:20
48,Shimoda,34.6667,138.95,71.1,87,57,7.11,JP,2021-10-11 21:42:21
49,Sorsk,54.0033,90.2467,28.44,95,100,3.36,RU,2021-10-11 21:42:21
50,Tawau,4.2498,117.8871,78.93,94,100,1.01,MY,2021-10-11 21:42:21
51,Tuktoyaktuk,69.4541,-133.0374,30.2,86,90,3.44,CA,2021-10-11 21:42:22
52,Albany,42.6001,-73.9662,70.21,77,25,1.77,US,2021-10-11 21:39:54
53,Yulara,-25.2406,130.9889,49.84,93,0,5.75,AU,2021-10-11 21:42:22
54,Nioro,13.35,-15.75,78.87,87,90,0.58,GM,2021-10-11 21:42:22
55,Chernyshevskiy,63.0128,112.4714,20.88,73,92,13.96,RU,2021-10-11 21:42:23
56,Botngard,63.7653,9.8111,48.78,93,75,10.36,NO,2021-10-11 21:42:23
57,Pemangkat,1.1667,108.9667,78.4,86,83,6.78,ID,2021-10-11 21:42:24
58,Vaini,-21.2,-175.2,75.36,78,20,11.5,TO,2021-10-11 21:41:03
59,Hay River,60.8156,-115.7999,39.18,70,75,3.44,CA,2021-10-11 21:41:08
60,Kapaa,22.0752,-159.319,82.38,72,20,7.0,US,2021-10-11 21:42:24
61,Ouargaye,11.5033,0.0572,83.86,57,98,7.65,BF,2021-10-11 21:42:24
62,Flinders,-34.5833,150.8552,58.21,86,100,4.0,AU,2021-10-11 21:42:25
63,Rio Gallegos,-51.6226,-69.2181,60.85,23,75,11.5,AR,2021-10-11 21:42:25
64,Nikolskoye,59.7035,30.7861,42.87,71,55,8.68,RU,2021-10-11 21:42:25
65,Barrow,71.2906,-156.7887,28.42,69,90,10.36,US,2021-10-11 21:41:17
66,Souillac,-20.5167,57.5167,74.35,94,40,4.61,MU,2021-10-11 21:42:26
67,Chokurdakh,70.6333,147.9167,17.11,89,100,5.26,RU,2021-10-11 21:42:26
68,Tecoanapa,16.5167,-98.75,85.53,72,8,10.18,MX,2021-10-11 21:42:27
69,New Norfolk,-42.7826,147.0587,48.76,69,85,1.01,AU,2021-10-11 21:42:27
70,Pouebo,-20.4,164.5667,76.71,68,78,8.59,NC,2021-10-11 21:42:27
71,Iskateley,67.6803,53.1512,32.59,92,100,14.27,RU,2021-10-11 21:42:28
72,Anadyr,64.75,177.4833,18.1,92,20,1.99,RU,2021-10-11 21:42:28
73,Srednekolymsk,67.45,153.6833,12.81,88,100,4.27,RU,2021-10-11 21:42:29
74,Waingapu,-9.6567,120.2641,75.96,70,95,2.15,ID,2021-10-11 21:42:29
75,Dangriga,16.9692,-88.2321,89.56,71,88,9.1,BZ,2021-10-11 21:42:29
76,Lakhimpur,27.95,80.7667,74.19,66,17,2.86,IN,2021-10-11 21:42:30
77,Caravelas,-17.7125,-39.2481,70.74,92,100,12.93,BR,2021-10-11 21:42:30
78,Tiksi,71.6872,128.8694,26.91,99,100,3.13,RU,2021-10-11 21:42:30
79,Hasaki,35.7333,140.8333,70.29,89,100,19.01,JP,2021-10-11 21:42:31
80,Butaritari,3.0707,172.7902,81.05,73,80,10.45,KI,2021-10-11 21:42:31
81,Punta Arenas,-53.15,-70.9167,53.71,50,40,26.46,CL,2021-10-11 21:38:58
82,Vestmannaeyjar,63.4427,-20.2734,45.68,77,92,18.14,IS,2021-10-11 21:41:48
83,Provideniya,64.3833,-173.3,32.11,80,75,6.71,RU,2021-10-11 21:42:31
84,Namatanai,-3.6667,152.4333,82.4,74,30,6.62,PG,2021-10-11 21:42:32
85,Castro,-24.7911,-50.0119,57.25,97,100,6.73,BR,2021-10-11 21:41:13
86,Awjilah,29.1081,21.2869,77.81,27,0,5.82,LY,2021-10-11 21:42:32
87,Tabou,4.423,-7.3528,77.63,88,94,6.08,CI,2021-10-11 21:42:33
88,Arraial Do Cabo,-22.9661,-42.0278,67.96,88,75,11.5,BR,2021-10-11 21:42:33
89,Hithadhoo,-0.6,73.0833,82.35,73,100,16.49,MV,2021-10-11 21:42:34
90,Eureka,40.8021,-124.1637,62.67,67,1,8.99,US,2021-10-11 21:40:20
91,Paita,-5.0892,-81.1144,72.16,83,26,17.87,PE,2021-10-11 21:42:34
92,Iqaluit,63.7506,-68.5145,35.33,87,40,4.0,CA,2021-10-11 21:42:34
93,Tasiilaq,65.6145,-37.6368,35.76,69,48,5.93,GL,2021-10-11 21:41:36
94,Khorixas,-20.3667,14.9667,77.14,14,0,2.71,NA,2021-10-11 21:42:35
